ID,ClientName,ClientNo,ClientLocation
CSV001,John Smith,+254712345678,Nairobi, Kenya
CSV002,Mary Johnson,0722123456,Karen, Nairobi
CSV003,David Wilson,+254733567890,Westlands, Nairobi
CSV004,Sarah Brown,0711987654,Kileleshwa, Nairobi
CSV005,Michael Davis,+254700123456,Runda, Nairobi
CSV006,Jennifer Garcia,0733456789,Lavington, Nairobi
CSV007,Robert Miller,+254722876543,Parklands, Nairobi
CSV008,Lisa Anderson,0711234567,South B, Nairobi
CSV009,Christopher Taylor,+254733123456,Eastleigh, Nairobi
CSV010,Amanda Thomas,0722567890,Donholm, Nairobi 
